City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
438,Nova Vicosa,BR,87.06,-17.89,-39.37,
439,Funadhoo,MV,82.38,6.15,73.27,
441,Kieta,PG,79.02,-6.22,155.63,
443,Cap Malheureux,MU,75.99,-19.98,57.61,
444,Yomou,GN,84.49,7.56,-9.27,
445,Karoi,ZW,82.9,-16.81,29.69,
446,Pafos,CY,84.2,34.77,32.42,
452,Lazaro Cardenas,MX,81.16,17.96,-102.2,
453,Kloulklubed,PW,77.0,7.04,134.26,
458,Oranjestad,AW,86.0,12.52,-70.03,
469,Marsh Harbour,BS,82.29,26.54,-77.06,
483,Marsabit,KE,79.65,2.33,37.99,
484,Dimbokro,CI,83.8,6.65,-4.7,
485,Quatre Cocos,MU,77.0,-20.21,57.76,
488,Piacabucu,BR,84.33,-10.41,-36.43,
492,Loandjili,CG,80.6,-4.76,11.86,
500,Manacapuru,BR,78.8,-3.3,-60.62,
502,Yarada,IN,82.4,17.65,83.27,
504,Garowe,SO,89.64,8.41,48.48,
508,Kisangani,CD,84.2,0.52,25.2,
509,Chabahar,IR,87.8,25.29,60.64,
511,Nouadhibou,MR,84.2,20.93,-17.03,
515,Tatawin,TN,80.6,32.93,10.45,
516,Kupang,ID,80.26,-10.17,123.58,
521,Eravur,LK,82.9,7.77,81.61,
525,Odweyne,SO,84.96,9.41,45.06,
527,Mahibadhoo,MV,83.39,3.78,72.97,
539,Pajapan,MX,75.2,18.25,-94.7,
540,Phan Thiet,VN,78.12,10.93,108.1,
543,Praia Da Vitoria,PT,78.8,38.73,-27.07,
544,Ajdabiya,LY,77.74,30.76,20.23,
548,Thung Song,TH,75.74,8.16,99.68,
550,Mount Pleasant,US,79.0,32.79,-79.86,
552,Carutapera,BR,88.2,-1.2,-46.02,
553,Bonfim,BR,89.55,3.08,-59.95,
554,Zwedru,LR,81.7,6.07,-8.13,
558,Rafaela,AR,80.01,-31.25,-61.49,
560,Howard Springs,AU,80.6,-12.5,131.05,
561,Boueni,YT,80.6,-12.9,45.08,
562,Beitbridge,ZW,86.04,-22.22,30.0,
565,Sarangani,PH,83.68,5.4,125.46,
567,Tefe,BR,84.2,-3.35,-64.71,
568,Vicuna,CL,79.0,-30.03,-70.71,
574,Obo,CF,78.33,5.4,26.49,
575,Veraval,IN,83.39,20.9,70.37,
580,Vila Velha,BR,84.2,-20.33,-40.29,
581,Mana,GF,88.0,5.66,-53.78,
582,Kaohsiung,TW,81.0,22.62,120.31,
583,Mataram,ID,78.8,-8.58,116.12,
